UF,Casos,Óbitos,Novos Casos,Novos Óbitos,Testes realizados,Suspeitos,Recuperados,Doses Aplicadas - 1ª Dose,Doses Aplicadas - 2ª Dose,Total de doses aplicadas,% pop. vacinada,% pop. 2ª dose
SP,2746217,88350,0,0,13108135,1088735,2381499,6188455,3162729,9351184,0.1337,0.0683
MG,1279549,30309,0,0,3605959,2675975,1165442,2652291,976071,3628362,0.1246,0.0458
RS,921812,23192,0,0,3484181,13610,884729,1949683,553256,2502939,0.1707,0.0484
PR,906990,20349,0,0,2424239,12241,648889,1430048,480602,1910650,0.1242,0.0417
BA,862334,17303,0,0,2007694,190000,828606,2061790,636242,2698032,0.1381,0.0426
SC,855902,12582,0,0,1954085,148451,822243,859583,322032,1181615,0.1185,0.0444
RJ,703349,41310,0,0,2313502,52017,653975,1862896,533714,2396610,0.1073,0.0307
CE,622765,16235,0,0,1760459,87297,424581,1139379,397376,1536755,0.124,0.0433
GO,524021,13676,0,0,1032310,427613,499729,735473,239409,974882,0.1034,0.0337
PA,450872,11900,0,0,858193,720,421399,938666,348518,1287184,0.108,0.0401
ES,416886,8673,0,0,1206108,242843,386306,593299,148226,741525,0.146,0.0365
PE,382164,13212,0,0,1530436,8487,324576,1165159,410094,1575253,0.1212,0.0426
DF,366708,7210,0,0,782118,661,348450,360178,140433,500611,0.1179,0.046
AM,363586,12371,0,0,894443,410,311360,533618,196286,729904,0.1268,0.0466
MT,340876,9084,0,0,557142,48576,320566,320518,110668,431186,0.0909,0.0314
PB,280063,6444,0,0,786727,77408,194389,579037,194120,773157,0.1434,0.0481
MA,255998,6866,0,0,611203,2815,230904,681194,220828,902022,0.0957,0.031
MS,237015,5193,0,0,705158,2538,219268,425012,174897,599909,0.1513,0.0623
PI,226624,4780,0,0,645600,3678,220534,362404,110988,473392,0.1104,0.0338
RN,212692,5106,0,0,456672,52838,150649,414423,122773,537196,0.1173,0.0347
RO,204482,4801,0,0,531896,278705,180089,158536,46896,205432,0.0882,0.0261
SE,190234,3955,0,0,396512,2320,170284,273868,102373,376241,0.1181,0.0441
AL,166708,3968,0,0,388679,8803,158555,412844,141518,554362,0.1232,0.0422
TO,152951,2374,0,0,455684,405,131837,145733,48310,194043,0.0916,0.0304
AP,103116,1467,0,0,185095,2205,75190,78421,25939,104360,0.091,0.0301
RR,93752,1445,0,0,213017,41093,86691,60858,28842,89700,0.0964,0.0457
AC,75405,1418,0,0,195151,44233,62798,83807,21765,105572,0.0937,0.0243